schema,ticker,rebalance_date,end_date,error
definition,FSLR,2023-03-20,2023-03-20,"HTTPSConnectionPool(host='hist.databento.com', port=443): Max retries exceeded with url: /v0/timeseries.get_range (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x1274ef200>: Failed to resolve 'hist.databento.com' ([Errno 8] nodename nor servname provided, or not known)""))"
OHLCV-1d,FSLR,2023-03-20,2023-04-24,"HTTPSConnectionPool(host='hist.databento.com', port=443): Max retries exceeded with url: /v0/timeseries.get_range (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x1274d0920>: Failed to resolve 'hist.databento.com' ([Errno 8] nodename nor servname provided, or not known)""))"
definition,GIS,2023-03-20,2023-03-20,"HTTPSConnectionPool(host='hist.databento.com', port=443): Max retries exceeded with url: /v0/timeseries.get_range (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x1274d10a0>: Failed to resolve 'hist.databento.com' ([Errno 8] nodename nor servname provided, or not known)""))"
OHLCV-1d,GIS,2023-03-20,2023-04-24,"HTTPSConnectionPool(host='hist.databento.com', port=443): Max retries exceeded with url: /v0/timeseries.get_range (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x1274d2c60>: Failed to resolve 'hist.databento.com' ([Errno 8] nodename nor servname provided, or not known)""))"
definition,HD,2023-03-20,2023-03-20,"HTTPSConnectionPool(host='hist.databento.com', port=443): Max retries exceeded with url: /v0/timeseries.get_range (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x1274ef320>: Failed to resolve 'hist.databento.com' ([Errno 8] nodename nor servname provided, or not known)""))"
OHLCV-1d,HD,2023-03-20,2023-04-24,"HTTPSConnectionPool(host='hist.databento.com', port=443): Max retries exceeded with url: /v0/timeseries.get_range (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x1273c3620>: Failed to resolve 'hist.databento.com' ([Errno 8] nodename nor servname provided, or not known)""))"
definition,ITW,2023-03-20,2023-03-20,"HTTPSConnectionPool(host='hist.databento.com', port=443): Max retries exceeded with url: /v0/timeseries.get_range (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x1273c2780>: Failed to resolve 'hist.databento.com' ([Errno 8] nodename nor servname provided, or not known)""))"
OHLCV-1d,ITW,2023-03-20,2023-04-24,"HTTPSConnectionPool(host='hist.databento.com', port=443): Max retries exceeded with url: /v0/timeseries.get_range (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x1271040b0>: Failed to resolve 'hist.databento.com' ([Errno 8] nodename nor servname provided, or not known)""))"
definition,KMB,2023-03-20,2023-03-20,"HTTPSConnectionPool(host='hist.databento.com', port=443): Max retries exceeded with url: /v0/timeseries.get_range (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x117856510>: Failed to resolve 'hist.databento.com' ([Errno 8] nodename nor servname provided, or not known)""))"
OHLCV-1d,KMB,2023-03-20,2023-04-24,"HTTPSConnectionPool(host='hist.databento.com', port=443): Max retries exceeded with url: /v0/timeseries.get_range (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x127105820>: Failed to resolve 'hist.databento.com' ([Errno 8] nodename nor servname provided, or not known)""))"
definition,MKTX,2023-03-20,2023-03-20,"HTTPSConnectionPool(host='hist.databento.com', port=443): Max retries exceeded with url: /v0/timeseries.get_range (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x1178574d0>: Failed to resolve 'hist.databento.com' ([Errno 8] nodename nor servname provided, or not known)""))"
OHLCV-1d,MKTX,2023-03-20,2023-04-24,"HTTPSConnectionPool(host='hist.databento.com', port=443): Max retries exceeded with url: /v0/timeseries.get_range (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x117856ae0>: Failed to resolve 'hist.databento.com' ([Errno 8] nodename nor servname provided, or not known)""))"
definition,MMM,2023-03-20,2023-03-20,"HTTPSConnectionPool(host='hist.databento.com', port=443): Max retries exceeded with url: /v0/timeseries.get_range (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x1133dfad0>: Failed to resolve 'hist.databento.com' ([Errno 8] nodename nor servname provided, or not known)""))"
OHLCV-1d,MMM,2023-03-20,2023-04-24,"HTTPSConnectionPool(host='hist.databento.com', port=443): Max retries exceeded with url: /v0/timeseries.get_range (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x127105b80>: Failed to resolve 'hist.databento.com' ([Errno 8] nodename nor servname provided, or not known)""))"
definition,MTD,2023-03-20,2023-03-20,"HTTPSConnectionPool(host='hist.databento.com', port=443): Max retries exceeded with url: /v0/timeseries.get_range (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x127345820>: Failed to resolve 'hist.databento.com' ([Errno 8] nodename nor servname provided, or not known)""))"
OHLCV-1d,MTD,2023-03-20,2023-04-24,"HTTPSConnectionPool(host='hist.databento.com', port=443): Max retries exceeded with url: /v0/timeseries.get_range (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x1178577d0>: Failed to resolve 'hist.databento.com' ([Errno 8] nodename nor servname provided, or not known)""))"
definition,NUE,2023-03-20,2023-03-20,"HTTPSConnectionPool(host='hist.databento.com', port=443): Max retries exceeded with url: /v0/timeseries.get_range (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x127347bc0>: Failed to resolve 'hist.databento.com' ([Errno 8] nodename nor servname provided, or not known)""))"
OHLCV-1d,NUE,2023-03-20,2023-04-24,"HTTPSConnectionPool(host='hist.databento.com', port=443): Max retries exceeded with url: /v0/timeseries.get_range (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x1273442f0>: Failed to resolve 'hist.databento.com' ([Errno 8] nodename nor servname provided, or not known)""))"
definition,ODFL,2023-03-20,2023-03-20,"HTTPSConnectionPool(host='hist.databento.com', port=443): Max retries exceeded with url: /v0/timeseries.get_range (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x127196330>: Failed to resolve 'hist.databento.com' ([Errno 8] nodename nor servname provided, or not known)""))"
