rebalance_date,ticker,rank,selected_flag
2015-03-30,KRFT,2.0,1
2015-03-30,CPB,3.0,1
2015-03-30,LEG,4.0,1
2015-03-30,DGX,5.0,1
2015-03-30,DLTR,6.0,1
2015-03-30,PAYX,7.0,1
2015-03-30,ED,8.0,1
2015-03-30,K,9.0,1
2015-03-30,VRSN,10.0,1
2015-03-30,WAT,11.0,1
2015-03-30,ORLY,12.0,1
2015-03-30,KMB,13.0,1
2015-03-30,ROST,14.0,1
2015-03-30,SHW,15.0,1
2015-03-30,BLK,16.0,1
2015-03-30,SO,17.0,1
2015-03-30,CL,18.0,1
2015-03-30,PBCT,19.0,1
2015-03-30,LEN,20.0,1
2015-04-27,CLX,1.0,1
2015-04-27,KRFT,2.0,1
2015-04-27,NFLX,3.0,1
2015-04-27,CPB,4.0,1
2015-04-27,DLTR,5.0,1
2015-04-27,BLK,6.0,1
2015-04-27,DGX,7.0,1
2015-04-27,PAYX,8.0,1
2015-04-27,SHW,9.0,1
2015-04-27,LEG,10.0,1
2015-04-27,NTRS,11.0,1
2015-04-27,JNPR,12.0,1
2015-04-27,K,13.0,1
2015-04-27,VRSN,14.0,1
2015-04-27,CL,15.0,1
2015-04-27,IBM,16.0,1
2015-04-27,URBN,17.0,1
2015-04-27,PBCT,18.0,1
2015-04-27,DRI,19.0,1
2015-04-27,ORLY,20.0,1
2015-05-26,CLX,1.0,1
2015-05-26,NFLX,2.0,1
2015-05-26,KRFT,3.0,1
2015-05-26,NEM,4.0,1
2015-05-26,CPB,5.0,1
2015-05-26,DGX,6.0,1
2015-05-26,DE,7.0,1
2015-05-26,IBM,8.0,1
2015-05-26,LEG,9.0,1
2015-05-26,DO,10.0,1
2015-05-26,BLK,11.0,1
2015-05-26,PAYX,12.0,1
2015-05-26,JNPR,13.0,1
2015-05-26,EXPE,14.0,1
2015-05-26,CL,15.0,1
2015-05-26,NTRS,16.0,1
2015-05-26,ED,17.0,1
2015-05-26,WAT,18.0,1
2015-05-26,PBCT,19.0,1
2015-05-26,K,20.0,1
2015-06-22,NFLX,1.0,1
2015-06-22,AGN,2.0,1
2015-06-22,CLX,3.0,1
2015-06-22,CPB,4.0,1
2015-06-22,RIG,5.0,1
2015-06-22,KRFT,6.0,1
2015-06-22,CI,7.0,1
2015-06-22,PBCT,8.0,1
2015-06-22,CAG,9.0,1
2015-06-22,IBM,10.0,1
2015-06-22,LEG,11.0,1
2015-06-22,NTRS,12.0,1
2015-06-22,DE,13.0,1
2015-06-22,WAT,14.0,1
2015-06-22,YUM,15.0,1
