strategy_id,date,ticker,event,detail,cash_change,shares_change
D20,2019-05-17,NEE,PUT_EXPIRE,OTM K=185.00 S_close=198.98,0.0,0
D20,2019-05-17,NFLX,PUT_EXPIRE,OTM K=350.00 S_close=354.45,0.0,0
D20,2019-05-17,UNP,PUT_EXPIRE,OTM K=155.00 S_close=174.62,0.0,0
D10,2019-10-25,AAPL,SELL_CALL,exp=2019-11-15 K=260.00 prem=1.19 x18,2142.0,0
D10,2019-10-25,MSFT,SELL_PUT,exp=2019-11-15 K=133.00 prem=0.43 x25,1075.0,0
D10,2019-10-25,WMT,SELL_PUT,exp=2019-11-15 K=115.00 prem=1.25 x29,3625.0,0
D10,2019-10-25,BAC,SELL_PUT,exp=2019-11-15 K=30.00 prem=0.14 x113,1582.0,0
D10,2019-10-25,PG,SELL_CALL,exp=2019-11-15 K=130.00 prem=0.10 x58,580.0,0
D10,2019-10-25,BA,SELL_CALL,exp=2019-11-15 K=362.50 prem=1.13 x10,1130.0,0
D10,2019-10-25,JNJ,SELL_PUT,exp=2019-11-15 K=119.00 prem=0.32 x28,896.0,0
D10,2019-10-25,HD,SELL_CALL,exp=2019-11-15 K=245.00 prem=0.46 x20,920.0,0
D10,2019-10-25,KO,SELL_PUT,exp=2019-11-15 K=52.00 prem=0.16 x65,1040.0,0
D10,2019-10-25,MRK,SELL_PUT,exp=2019-11-15 K=77.50 prem=0.37 x44,1628.0,0
D10,2019-10-25,INTC,SELL_CALL,exp=2019-11-15 K=62.00 prem=0.04 x87,348.0,0
D10,2019-10-25,DIS,SELL_PUT,exp=2019-11-15 K=125.00 prem=0.99 x27,2673.0,0
D10,2019-10-25,MDT,SELL_PUT,exp=2019-11-15 K=100.00 prem=0.32 x34,1088.0,0
D10,2019-10-25,NEE,SELL_PUT,exp=2019-11-15 K=230.00 prem=1.40 x14,1960.0,0
D10,2019-10-25,PEP,SELL_CALL,exp=2019-11-15 K=145.00 prem=0.03 x46,138.0,0
D10,2019-10-25,COST,SELL_PUT,exp=2019-11-15 K=280.00 prem=0.83 x12,996.0,0
D10,2019-10-25,ABT,SELL_PUT,exp=2019-11-15 K=77.00 prem=0.31 x44,1364.0,0
D10,2019-10-25,TMO,SELL_PUT,exp=2019-11-15 K=270.00 prem=0.55 x12,660.0,0
D10,2019-10-25,NVDA,SELL_PUT,exp=2019-11-15 K=180.00 prem=1.56 x19,2964.0,0
D10,2019-10-25,FISV,SELL_PUT,exp=2019-11-15 K=95.00 prem=0.75 x36,2700.0,0
D20,2019-10-25,AAPL,SELL_CALL,exp=2019-11-15 K=257.50 prem=1.88 x15,2820.0,0
D20,2019-10-25,MSFT,SELL_PUT,exp=2019-11-15 K=136.00 prem=1.06 x23,2438.0,0
D20,2019-10-25,WMT,SELL_PUT,exp=2019-11-15 K=117.00 prem=2.09 x26,5434.0,0
D20,2019-10-25,BAC,SELL_CALL,exp=2019-11-15 K=33.00 prem=0.14 x117,1638.0,0
D20,2019-10-25,PG,SELL_CALL,exp=2019-11-15 K=128.00 prem=0.43 x48,2064.0,0
D20,2019-10-25,BA,SELL_CALL,exp=2019-11-15 K=360.00 prem=1.37 x9,1233.0,0
D20,2019-10-25,JNJ,SELL_PUT,exp=2019-11-15 K=122.00 prem=0.63 x25,1575.0,0
D20,2019-10-25,HD,SELL_CALL,exp=2019-11-15 K=242.50 prem=0.91 x17,1547.0,0
D20,2019-10-25,KO,SELL_PUT,exp=2019-11-15 K=52.00 prem=0.16 x60,960.0,0
D20,2019-10-25,MRK,SELL_PUT,exp=2019-11-15 K=79.00 prem=0.54 x39,2106.0,0
D20,2019-10-25,INTC,SELL_CALL,exp=2019-11-15 K=60.00 prem=0.16 x70,1120.0,0
D20,2019-10-25,DIS,SELL_CALL,exp=2019-11-15 K=135.00 prem=1.71 x50,8550.0,0
D20,2019-10-25,MDT,SELL_PUT,exp=2019-11-15 K=101.00 prem=0.48 x31,1488.0,0
D20,2019-10-25,NEE,SELL_PUT,exp=2019-11-15 K=230.00 prem=1.40 x13,1820.0,0
