strategy_id,date,cash,equity,daily_pnl
D20,2019-03-05,6822152.88,11263207.88,-6177.64
D10,2019-03-06,7828791.95,11302411.95,-41168.37
D20,2019-03-06,6822805.32,11195924.31,-67283.57
D10,2019-03-07,7829537.55,11269974.55,-32437.4
D20,2019-03-07,6823455.11,11167619.11,-28305.2
D10,2019-03-08,7830286.32,11262487.32,-7487.22
D20,2019-03-08,6824107.67,11174648.68,7029.57
D10,2019-03-11,7831035.17,11342148.15,79660.83
D20,2019-03-11,6824760.29,11223663.29,49014.61
D10,2019-03-12,7831784.09,11368125.09,25976.94
D20,2019-03-12,6825412.98,11236536.98,12873.69
D10,2019-03-13,7832529.98,11384725.99,16600.9
D20,2019-03-13,6826063.02,11254811.04,18274.06
D10,2019-03-14,7833275.93,11350928.93,-33797.06
D20,2019-03-14,6826713.12,11221036.11,-33774.93
D10,2019-03-15,7834021.96,11395871.96,44943.03
D20,2019-03-15,6827363.28,11255016.27,33980.16
D10,2019-03-18,7834764.95,11409756.95,13884.99
D20,2019-03-18,6828010.8,11252869.8,-2146.48
D10,2019-03-19,7835514.22,11503135.22,93378.28
D20,2019-03-19,6828663.8,11311624.79,58754.99
D10,2019-03-20,7836266.68,11494885.68,-8249.54
D20,2019-03-20,6829319.56,11303550.56,-8074.22
D10,2019-03-21,7837022.32,11613217.32,118331.64
D20,2019-03-21,6829978.11,11389934.11,86383.55
D10,2019-03-22,7837771.81,11519711.81,-93505.51
D20,2019-03-22,6830631.29,11280751.3,-109182.82
D10,2019-03-25,7838521.38,11510564.4,-9147.42
D20,2019-03-25,6831284.54,11281517.54,766.24
D10,2019-03-26,7839271.02,11531435.0,20870.6
D20,2019-03-26,6831937.85,11323529.83,42012.29
D10,2019-03-27,7840014.5,11493599.5,-37835.5
D20,2019-03-27,6832585.8,11294930.79,-28599.04
D10,2019-03-28,7840754.95,11513365.95,19766.45
D20,2019-03-28,6833231.1,11314756.1,19825.31
D10,2019-03-29,7841486.13,11544546.13,31180.18
D20,2019-03-29,6833868.32,11353556.33,38800.23
D10,2019-04-01,7842226.71,11591135.73,46589.6
D20,2019-04-01,6834513.74,11420853.77,67297.44
D10,2019-04-02,7842964.26,11602771.26,11635.52
D20,2019-04-02,6835156.51,11435822.51,14968.75
D10,2019-04-03,7843708.09,11665338.11,62566.85
D20,2019-04-03,6835804.77,11481152.77,45330.26
D10,2019-04-04,7844452.0,11669207.0,3868.89
D20,2019-04-04,6836453.08,11517145.07,35992.3
D10,2019-04-05,7845195.98,11679203.98,9996.98
D20,2019-04-05,6837101.46,11522058.45,4913.38
D10,2019-04-08,7845936.91,11689751.93,10547.95
D20,2019-04-08,6837747.19,11511248.19,-10810.26
D10,2019-04-09,7846674.81,11633289.81,-56462.13
D20,2019-04-09,6838390.26,11461376.27,-49871.92
D10,2019-04-10,7847415.88,11663585.88,30296.07
D20,2019-04-10,6839036.11,11481429.11,20052.84
D10,2019-04-11,7848157.03,11661683.03,-1902.86
D20,2019-04-11,6839682.02,11479033.02,-2396.09
D10,2019-04-12,7848901.35,11666817.35,5134.33
D20,2019-04-12,6840330.7,11573283.71,94250.69
D10,2019-04-15,7849642.64,11670338.64,3521.29
D20,2019-04-15,6840976.73,11572228.67,-1055.04
D10,2019-04-16,7850383.99,11676905.99,6567.36
D20,2019-04-16,6841622.83,11558890.78,-13337.9
D10,2019-04-17,7851128.54,11668423.54,-8482.46
D20,2019-04-17,6842271.69,11532570.68,-26320.09
D10,2019-04-18,7851866.92,11659023.92,-9399.62
D20,2019-04-18,6842915.19,11514371.2,-18199.48
D10,2019-04-22,7852611.6,11661124.6,2100.68
D20,2019-04-22,6843564.18,11502977.14,-11394.06
D10,2019-04-23,7853359.46,11658592.46,-2532.13
D20,2019-04-23,6844215.95,11503808.94,831.8
D10,2019-04-24,7854104.29,11669718.29,11125.82
D20,2019-04-24,6844865.07,11520045.11,16236.16
D10,2019-04-25,7854846.06,11597218.06,-72500.22
D20,2019-04-25,6845511.53,11466677.57,-53367.54
D10,2019-04-26,7894244.43,11633580.43,36362.37
D20,2019-04-26,6896598.07,11516548.08,49870.52
D10,2019-04-29,7894993.13,11635485.13,1904.7
D20,2019-04-29,6897252.16,11509153.15,-7394.94
D10,2019-04-30,7895738.77,11670486.77,35001.64
D20,2019-04-30,6897903.56,11534468.56,25315.42
D10,2019-05-01,7896484.48,11646107.48,-24379.29
D20,2019-05-01,6898555.03,11496873.02,-37595.54
D10,2019-05-02,7897239.65,11685891.64,39784.16
D20,2019-05-02,6899214.77,11518914.75,22041.73
D10,2019-05-03,7897985.51,11706459.51,20567.87
D20,2019-05-03,6899866.37,11550045.36,31130.61
D10,2019-05-06,7898734.56,11670230.56,-36228.95
D20,2019-05-06,6900520.76,11507156.77,-42888.59
D10,2019-05-07,7899480.55,11576000.55,-94230.01
D20,2019-05-07,6901172.47,11419236.48,-87920.28
D10,2019-05-08,7900226.61,11591512.6,15512.04
D20,2019-05-08,6901824.25,11427711.29,8474.8
D10,2019-05-09,7900972.75,11567625.75,-23886.85
D20,2019-05-09,6902476.09,11379020.09,-48691.2
D10,2019-05-10,7901718.95,11632799.89,65174.14
D20,2019-05-10,6903127.99,11421630.94,42610.84
D10,2019-05-13,7902458.95,11479136.95,-153662.93
D20,2019-05-13,6903774.47,11265344.47,-156286.46
D10,2019-05-14,7903199.02,11570858.02,91721.07
D20,2019-05-14,6904421.02,11358570.03,93225.55
D10,2019-05-15,7903942.3,11624197.35,53339.32
D20,2019-05-15,6905070.36,11399197.32,40627.29
D10,2019-05-16,7904679.37,11694166.37,69969.03
D20,2019-05-16,6905714.29,11467939.29,68741.97
D10,2019-05-17,6766307.62,11680498.56,-13667.81
D20,2019-05-17,6227542.51,11452989.45,-14949.84
